code|description|category
7342|Exterminating and Disinfecting Services|Business Services
7349|Cleaning and Maintenance – Building|Business Services
7361|Employment Agencies and Temporary Help Services|Business Services
7372|Computer Programming, Data Processing, and Integrated Systems Design|Business Services
7379|Computer Repair and Maintenance Services|Business Services
7392|Consulting, Management, and Public Relations Services|Business Services
7393|Detective Agencies and Protective Services|Business Services
7394|Equipment Rental and Leasing Services|Business Services
7395|Photofinishing Laboratories and Photo Developing|Business Services
7399|Business Services (Not Elsewhere Classified)|Business Services
7512|Car Rental Agencies|Travel and Lodging
7513|Truck and Utility Trailer Rentals|Business Services
7519|Motor Home and Recreational Vehicle Rentals|Travel and Lodging
7523|Parking Lots and Garages|Transportation
7531|Automotive Body Repair Shops|Automotive Services
7534|Tire Retreading and Repair Shops|Automotive Services
7535|Automotive Paint Shops|Automotive Services
7538|Automotive Service Shops|Automotive Services
7542|Car Washes|Automotive Services
7549|Towing Services|Automotive Services
7622|Electronics Repair Shops|Repair Services
7623|Air Conditioning and Refrigeration Repair Shops|Repair Services
7629|Electrical and Small Appliance Repair Shops|Repair Services
7631|Watch, Clock, and Jewelry Repair Shops|Repair Services
7641|Furniture, Furniture Repair, and Upholstery|Repair Services
7699|Repair Shops and Related Services (Not Elsewhere Classified)|Repair Services
7829|Motion Picture and Video Tape Production and Distribution|Entertainment
7832|Motion Picture Theaters|Entertainment
7841|Video Tape Rental Stores|Entertainment
7911|Dance Halls, Studios, and Schools|Entertainment
7922|Theatrical Producers and Ticket Agencies|Entertainment
7929|Bands, Orchestras, and Entertainers|Entertainment
7932|Billiard and Pool Establishments|Entertainment
7933|Bowling Alleys|Entertainment
7941|Sports Clubs/Fields, Professional Sports Organizations|Entertainment
7991|Tourist Attractions and Exhibits|Entertainment
7992|Golf Courses – Public|Entertainment
7993|Video Amusement Game Supplies|Entertainment
7994|Video Game Arcades/Establishments|Entertainment
7995|Betting, including Lottery Tickets, Casino Gaming, and Wagers|High-Risk / Gambling
7996|Amusement Parks, Carnivals, Circuses|Entertainment
7997|Membership Clubs (Country Clubs, Golf, Sports)|Entertainment
7998|Aquariums, Seaquariums, Dolphinariums|Entertainment
7999|Recreation Services (Not Elsewhere Classified)|Entertainment
8011|Doctors and Physicians (Not Elsewhere Classified)|Healthcare
8021|Dentists and Orthodontists|Healthcare
8031|Osteopaths|Healthcare
8041|Chiropractors|Healthcare
8042|Optometrists and Ophthalmologists|Healthcare
8043|Opticians, Optical Goods, and Eyeglasses|Healthcare
8049|Podiatrists and Chiropodists|Healthcare
8050|Nursing and Personal Care Facilities|Healthcare
8062|Hospitals|Healthcare
8071|Medical and Dental Laboratories|Healthcare
8099|Medical Services and Health Practitioners (Not Elsewhere Classified)|Healthcare
8111|Legal Services and Attorneys|Professional Services
8211|Elementary and Secondary Schools|Education
8220|Colleges, Universities, Professional Schools|Education
8241|Correspondence Schools|Education
8244|Business and Secretarial Schools|Education
8249|Vocational and Trade Schools|Education
8299|Schools and Educational Services (Not Elsewhere Classified)|Education
8351|Child Care Services|Personal Services
8398|Charitable and Social Service Organizations|Membership Organizations
8641|Civic, Social, and Fraternal Associations|Membership Organizations
8651|Political Organizations|Membership Organizations
8661|Religious Organizations|Membership Organizations
8675|Automobile Associations|Membership Organizations
8699|Membership Organizations (Not Elsewhere Classified)|Membership Organizations
8734|Testing Laboratories (Non-Medical)|Professional Services
8911|Architectural, Engineering, and Surveying Services|Professional Services
8931|Accounting, Auditing, and Bookkeeping Services|Professional Services
8999|Professional Services (Not Elsewhere Classified)|Professional Services
9211|Court Costs, including Alimony and Child Support|Government Services
9222|Fines|Government Services
9223|Bail and Bond Payments|Government Services
9311|Tax Payments|Government Services
9399|Government Services (Not Elsewhere Classified)|Government Services
9402|Postal Services – Government Only|Government Services
9405|Intra-Government Purchases|Government Services
9950|Intra-Company Purchases|Government Services
